"ID","linenum","fstation","lstation","linelong","co","kongtiao","yuepiao","piaozhi","pay","ftime","ltime","station"
43,"1(马官营-四惠站)","马官营","四惠站","22.00","客六","否","有效","单一票制","1.00","5:00","23:00","1 马官营 
 
2 六里桥北里 
 
3 公主坟南站 
 
4 公主坟 
 
5 军事博物馆 
 
6 木樨地 
 
7 工会大楼 
 
8 礼士路 
 
9 复兴门 
 
10 西单 
 
11 中山公园 
 
12 天安门 
 
13 东单 
 
14 北京站口 
 
15 日坛路 
 
16 永安里 
 
17 大北窑 
 
18 郎家园 
 
19 八王坟 
 
20 四惠站 
"
44,"1(四惠站-马官营)","四惠站","马官营","22.00","客六","否","有效","单一票制","1.00","5:00","23:00","1 四惠站 
 
2 八王坟 
 
3 郎家园 
 
4 大北窑 
 
5 永安里 
 
6 日坛路 
 
7 北京站口 
 
8 东单 
 
9 天安门 
 
10 中山公园 
 
11 西单 
 
12 复兴门 
 
13 礼士路 
 
14 工会大楼 
 
15 木樨地 
 
16 军事博物馆 
 
17 公主坟 
 
18 公主坟南站 
 
19 六里桥北里 
 
20 马官营 
"
45,"10(北京站-南菜园)","北京站","南菜园","11.60","客四","否","有效","单一票制","1.00","5:00","24:00","1 北京站 
 
2 东单 
 
3 王府井 
 
4 南河沿 
 
5 天安门 
 
6 中山公园 
 
7 石碑胡同 
 
8 六部口 
 
9 西单 
 
10 民族文化宫 
 
11 新文化街 
 
12 长椿街 
 
13 槐柏树街 
 
14 宣武医院 
 
15 牛街 
 
16 礼拜寺 
 
17 牛街南口 
 
18 南樱桃园 
 
19 白纸坊 
 
20 南菜园 
"
46,"10(南菜园-北京站)","南菜园","北京站","10.40","客四","否","有效","单一票制","1.00","5:00","24:00","1 南菜园 
 
2 白纸坊 
 
3 南樱桃园 
 
4 牛街南口 
 
5 礼拜寺 
 
6 牛街 
 
7 宣武医院 
 
8 槐柏树街 
 
9 长椿街 
 
10 新文化街 
 
11 民族文化宫 
 
12 西单 
 
13 石牌胡同 
 
14 天安门 
 
15 王府井 
 
16 东单 
 
17 北京站口 
 
18 北京站 
"
47,"101(甘家口商场-红庙)","甘家口商场","红庙","13.80","电车","否","有效","单一票制","1.00","5:30","22:00","1 甘家口商场 
 
2 百万庄东口 
 
3 展览路 
 
4 礼士路 
 
5 阜成门 
 
6 白塔寺 
 
7 西四 
 
8 府右街 
 
9 北海 
 
10 故宫 
 
11 沙滩 
 
12 美术馆 
 
13 东四 
 
14 小街 
 
15 朝阳门 
 
16 朝外大街 
 
17 神路街 
 
18 东大桥 
 
19 关东店 
 
20 呼家楼 
 
21 小庄 
 
22 红庙 
"
48,"101(红庙-甘家口商场)","红庙","甘家口商场","14.70","电车","否","有效","单一票制","1.00","5:30","22:00","1 红庙 
 
2 小庄 
 
3 呼家楼 
 
4 关东店 
 
5 东大桥 
 
6 神路街 
 
7 朝外大街 
 
8 朝阳门 
 
9 小街 
 
10 东四 
 
11 美术馆 
 
12 沙滩 
 
13 故宫 
 
14 北海 
 
15 府右街 
 
16 西四 
 
17 白塔寺 
 
18 阜成门 
 
19 礼士路 
 
20 展览路 
 
21 甘家口 
 
22 甘家口商场 
"
49,"102(北京南站-动物园)","北京南站","动物园","13.54","电车","否","有效","单一票制","1.00","4:50","23:00","1 北京南站 
 
2 游泳池(太平街) 
 
3 太平街 
 
4 虎坊路 
 
5 虎坊桥 
 
6 果子巷 
 
7 菜市口 
 
8 校场口 
 
9 宣武门 
 
10 西单 
 
11 商场 
 
12 甘石桥(西单北大街) 
 
13 缸瓦市 
 
14 西四 
 
15 白塔寺 
 
16 阜成门 
 
17 礼士路(北) 
 
18 阜外西口 
 
19 甘家口 
 
20 甘家口商场 
 
21 百万庄 
 
22 二里沟 
 
23 动物园 
"
50,"102(动物园-北京南站)","动物园","北京南站","13.41","电车","否","有效","单一票制","1.00","4:50","23:00","1 动物园 
 
2 二里沟 
 
3 百万庄 
 
4 甘家口商场 
 
5 甘家口 
 
6 阜外西口 
 
7 礼士路(北) 
 
8 阜成门 
 
9 白塔寺 
 
10 西四 
 
11 缸瓦市 
 
12 甘石桥(西单北大街) 
 
13 商场 
 
14 西单 
 
15 宣武门 
 
16 校场口 
 
17 菜市口 
 
18 果子巷 
 
19 虎坊桥 
 
20 虎坊路 
 
21 太平街 
 
22 游泳池(太平街) 
 
23 北京南站 
"
51,"103(北京站-动物园)","北京站","动物园","12.72","电车","否","有效","单一票制","1.00","4:50","23:00","1 北京站 
 
2 崇文门 
 
3 台基厂 
 
4 东长安街 
 
5 新东安市场 
 
6 灯市西口 
 
7 美术馆 
 
8 沙滩 
 
9 故宫 
 
10 北海 
 
11 府右街 
 
12 西四 
 
13 白塔寺 
 
14 阜成门 
 
15 展览路 
 
16 阜外西口 
 
17 甘家口 
 
18 百万庄 
 
19 二里沟(西口) 
 
20 动物园 
"
52,"103(动物园-北京站)","动物园","北京站","13.38","电车","否","有效","单一票制","1.00","4:50","23:00","1 动物园 
 
2 二里沟(西口) 
 
3 百万庄 
 
4 甘家口 
 
5 阜外西口 
 
6 展览路 
 
7 阜成门 
 
8 白塔寺 
 
9 西四 
 
10 府右街 
 
11 北海 
 
12 故宫 
 
13 沙滩 
 
14 美术馆 
 
15 灯市西口 
 
16 新东安市场 
 
17 东长安街 
 
18 台基厂 
 
19 崇文门 
 
20 北京站 
"
